CATEGORIA,CENTRAL,AGUILAS,TLAQUEPAQUE,TORRES,CENTRO SUR,Kiosco,VOLANTAS,D. FORANEAS,TOTAL
CHOFER,7364,2234,2125,2429,845,75,1845,8620,25537
AUTOMOVILISTA,2959,1185,447,675,283,22,533,469,6573
MOTOCICLISTA,960,56,93,73,28,1,82,354,1647
PERM. PROV. AUTO,197,4,1,2,0,0,0,46,250
PERM. PROV. MOTO,3,0,0,0,0,0,0,1,4
C.T.P. C1,55,0,0,0,0,0,0,0,55
C.T.P. C2,163,0,0,0,0,0,0,0,163
C.T.P. C3,229,0,0,0,0,0,0,0,229
C.T.P. C4,35,0,0,0,0,0,0,0,35
C.T.P. C5,7,0,0,0,0,0,0,0,7
C.T.P. D1,7,0,0,0,0,0,0,0,7
C.T.P. D2,49,0,0,0,0,0,43,0,92
C1+E,0,0,0,0,0,0,0,0,0
TOTAL,12028,3479,2666,3179,1156,98,2503,9490,34599
,,,,,,,,,
PROMEDIO DIARIO,601.4,173.95,133.3,158.95,57.8,4.9,125.15,474.5,1729.95
,,,,,,,,,
MOVIMIENTO,,,,,,,,,
NUEVAS,5900,0,0,0,0,0,907,3582,10389
CANJES,6128,3479,2666,3179,1156,98,1596,5908,24210
DUPLICADOS,0,0,0,0,0,0,0,0,0
,,,,,,,,,
TOTAL,12028,3479,2666,3179,1156,98,2503,9490,34599
,,,,,,,,,
,,, ,,,,,,
